id|schedule|cats|family_id|n|metrics|units|ptypes|yrs|title
190c9591-3e84-49eb-b2a2-9ceea7958a5d|nightly|bevoelkerung-und-gesellschaft|vornamenstatistik|2|2|city|year|2022-2022|Vornamensstatistik 2022
072848bf-7537-4efd-9009-2f535bdc9ebf|nightly|sonstiges||2|2|city|year||Standorte Defibrillatoren
03f75b80-e11c-4ff9-bf4f-5e5d6ce8cbcb|nightly|sonstiges||2|2|city|year||Kommunale Bügerumfrage 2024 - Haushaltsgewichtung
f91dfa55-7126-4ba8-b756-9a91d1b5900a|nightly|sonstiges||1|1|city|year||Gewünschte Gartentypen - Kommunale Bürgerumfrage
6397755a-7f9f-43df-bfd9-dbb1fdaa81c4|nightly|regierung-und-oeffentlicher-sektor||1|1|city|year||Anträge Führungszeugnis
09531960-8429-4b31-9047-a55efeb2b483|nightly|sonstiges||1|1|city|year||Ehrenamt nach Geschlecht
7e1ece46-11d8-4a0c-8ab0-b465db5ba61f|nightly|sonstiges||1|1|city|year||Untersagung des Führens von fahrerlaubnisfreien Fahrzeugen
486dedc5-0ebd-41ea-903e-4805865de852|nightly|sonstiges||1|1|city|year|1998-1998|Repräsentative Wahlstatistik Oberbürgermeisterwahlen - Stimmen (seit
70100423-5e1e-4219-979f-84f83cc5d82d|nightly|sonstiges||1|1|city|year|2002-2002|Repräsentative Wahlstatistik Bundestagswahlen - Zweitstimmen (seit 2
7d70d301-2659-414a-80ae-2e507674348f|nightly|bevoelkerung-und-gesellschaft;regierung-und-oeffentlicher-sektor||1|1|city|year|2002-2002|Repräsentative Wahlstatistik Bundestagswahlen - Wahlbeteiligung (sei
4892dd2c-d702-49af-a340-07b5dc4e7c6d|nightly|sonstiges||1|1|city|year|1994-1994|Repräsentative Wahlstatistik Europawahlen - Stimmen (seit 1994)
552938b6-77ef-46a6-8b7f-fda28e9c96f9|nightly|sonstiges||1|1|city|year|1994-1994|Repräsentative Wahlstatistik Landtagswahlen - Zweitstimmen (seit 199
5bf0e7cd-4f82-4a15-af71-978b927eccd4|nightly|sonstiges||1|1|city|year||Vergabeverfahren
2adcfb1a-9952-4898-b9b4-b8748444d5db|nightly|wirtschaft-und-finanzen||1|1|city|year||Finanzhaushalt der Stadt Leipzig 2025/2026
a90633aa-c5b6-404f-bb0d-0b0eee3f8101|live|sonstiges||1|1|city|year|2020-2020|Oberbürgermeisterwahl 2020 Repräsentative Nachwahlbefragung
