name,created,description,formats
Parteienverzeichnis StatAmtLeipzig,2025-11-17 12:48:31.477820,"Parteienverzeichnis des Amtes für Statistik und Wahlen Leipzig: Dieses Verzeichnis beinhaltet die seit 1994 in Leipzig in Bundestags-, Landtags-, Oberbürgermeister-, Stadtrats- und Europawahlen angetretenen Parteien. Das Verzeichnis beinhaltet die Namen, unter denen Parteien angetreten sind, eine wahlübergreifende Partei-ID und die Parteikurzbezeichnungen und -namen, unter denen die Parteien zuletzt angetreten sind.  Die Partei-ID wurde vom Amt für Statistik und Wahlen festgelegt und ist lediglich für Wahldaten gültig, die vom Amt für Statistik und Wahlen der Stadt Leipzig veröffentlicht werden.",CSV
Standorte Defibrillatoren,2026-02-23 15:13:38.732135,Standorte der Defibrillatoren in der Stadtverwaltung Leipzig (bürogenutzte Verwaltungsobjekte) ,CSV
Besucherstatistik Städtische Bibliotheken,2026-02-23 08:28:31.242385,"Anzahl von Besuchern, Entleihungen und virtuellen Besuchern der Leipziger Städtischen Bibliotheken",CSV
Ausbaugewerbe (Quartalszahlen),2023-09-26 12:19:59.915335,"Daten zu den Betrieben, tätigen Personen, Umsatz, Arbeitstunden und Bruttoentgeltsumme im Ausbaugewerbe.","CSV, JSON"
Bauhauptgewerbe (Quartalszahlen),2023-09-26 12:19:59.684928,"Daten zu den Betrieben, tätigen Personen, Umsatz, Arbeitstunden und Bruttoentgeltsumme im Hoch- und Tiefbau.","CSV, JSON"
Verarbeitendes Gewerbe (Quartalszahlen),2023-09-26 12:19:59.478564,"Daten zu den Betrieben, tätigen Personen, Umsatz, Arbeitstunden und Bruttoentgeltsumme im Verarbeitenden Gewerbe.","CSV, JSON"
Beschäftigte (Quartalszahlen),2023-09-26 12:19:59.070892,Daten zu den Sozialversicherungspflichtig Beschäftigten in den Wirtschaftsabteilungen nach der Klassifikation der Wirtschaftszweige (WZ 2008) am Arbeitsort und am Wohnort Leipzig.,"CSV, JSON"
Grundsicherung für Arbeitssuchende (Quartalszahlen),2023-09-26 12:19:58.377874,"Daten zu Empfängern von Sozialleistungen, Bedarfsgemeinschaften und Leistungen.","CSV, JSON"
Steuereinnahmen (Quartalszahlen),2023-09-26 12:19:56.609080,"Daten zu den Steuereinnahmen der Stadt Leipzig: Grundsteuer Gewerbesteuer, Einkommensteuer, Umsatzsteuer, Vergnügungsteuer, Hundesteuer, Zweitwohnungssteuer.","CSV, JSON"
Abfallentsorgung (Quartalszahlen),2023-09-26 12:19:56.291511,Daten zur Abfallentsorgung durch die Stadtreinigung Leipzig: Anzahl der Abfallbehälter und entsorgte Abfallmengen,"CSV, JSON"
Bäder (Quartalszahlen),2023-09-26 12:19:56.014357,Daten zu den Besuchern in Hallen- und Freibädern.,"CSV, JSON"
Zoo Leipzig (Quartalszahlen),2023-09-26 12:19:55.694129,Daten zu Besuchern und zum Tierbestand im Zoo Leipzig.,"CSV, JSON"
Theater (Quartalszahlen),2023-09-26 12:19:55.312505,Daten zu Besuchern von Veranstaltungen in den Leipziger (Musik-)Theatern und Kabaretts.,"CSV, JSON"
Museen (Quartalszahlen),2023-09-26 12:19:55.019345,Daten zu Besuchern in den Leiziger Museen.,"CSV, JSON"
Luftverkehr (Quartalszahlen),2023-09-26 12:19:54.668513,Daten zum Flugverkehr am Flughafen Leipzig-Halle (Passagier- Frachtflüge).,"CSV, JSON"
Verkehrsunfälle (Quartalszahlen),2023-09-26 12:19:54.197044,Daten zu Personenschäden und Ursachen bei Straßenverkehrsunfällen.,"CSV, JSON"
